export_time,method,rmse,mae,r2
2025-12-02 14:51:56.627586,online-ADAM,4.158570341040987,1.221128156058239,0.8873758027560799
2025-12-02 14:53:58.966426,online-ADAM,4.156592201725804,1.2273521787603907,0.8874829229184863
2025-12-02 15:12:03.705843,online-ADAM,4.20129681729918,1.2357534193886048,0.8850496402129007
2025-12-02 15:13:02.892231,online-ADAM,4.1892584835096995,1.2222301137490952,0.8857074505438172
2026-03-19 11:33:49.169950,online-ADAM,8.909822288165335,2.3107258400005746,0.4830105398654224
2026-03-19 11:34:16.875535,online-ADAM,12.669578648803995,2.6903769795235526,-0.045364985140581515
2026-03-19 11:35:01.346881,online-ADAM,9.865394689832877,2.4070121146921184,0.3661703730407003
2026-04-13 00:01:51.247570,online-ADAM,10.478051244391482,2.4835704601700677,0.28500230504619295
2026-04-13 00:17:27.839248,online-ADAM,11.509807261754782,2.711054643963986,0.13726044938730908
2026-04-14 14:40:35.813433,online-ADAM,9.797461000879274,2.4858962997711402,0.37486949452336427
2026-04-14 14:53:10.317650,online-ADAM,10.459441573437783,2.5441370636858496,0.2875398104462976
2026-04-16 15:41:35.467525,online-ADAM,10.199942080658067,2.5044252152012145,0.3224536393721822
