,Q_bar,P_bar,T_bar,H_bar
2009-01-01 00:00:00,2.50454166666666,0.0,0.0,166.0
2009-01-01 01:00:00,2.50502604166666,0.0625,0.0001736111111111,166.04166666666666
2009-01-01 02:00:00,2.50551041666666,0.125,0.0003472222222222,166.08333333333334
2009-01-01 03:00:00,2.50599479166666,0.1875,0.0005208333333333,166.125
2009-01-01 04:00:00,2.50647916666666,0.25,0.0006944444444444,166.16666666666666
2009-01-01 05:00:00,2.50696354166666,0.3125,0.0008680555555555,166.20833333333334
2009-01-01 06:00:00,2.50744791666666,0.375,0.0010416666666666,166.25
2009-01-01 07:00:00,2.50793229166666,0.4375,0.0012152777777777,166.29166666666666
2009-01-01 08:00:00,2.50841666666666,0.5,0.0013888888888888,166.33333333333334
2009-01-01 09:00:00,2.50890104166666,0.5625,0.0015624999999999,166.375
2009-01-01 10:00:00,2.50938541666666,0.625,0.0017361111111111,166.41666666666666
2009-01-01 11:00:00,2.50986979166666,0.6875,0.0019097222222222,166.45833333333334
2009-01-01 12:00:00,2.51035416666666,0.75,0.0020833333333333,166.5
2009-01-01 13:00:00,2.51083854166666,0.8125,0.0022569444444444,166.54166666666666
2009-01-01 14:00:00,2.51132291666666,0.875,0.0024305555555555,166.58333333333334
2009-01-01 15:00:00,2.51180729166666,0.9375,0.0026041666666666,166.625
2009-01-01 16:00:00,2.51229166666666,1.0,0.0027777777777777,166.66666666666666
2009-01-01 17:00:00,2.51277604166666,1.0625,0.0029513888888888,166.70833333333334
2009-01-01 18:00:00,2.51326041666666,1.125,0.0031249999999999,166.75
2009-01-01 19:00:00,2.51374479166666,1.1875,0.0032986111111111,166.79166666666666
2009-01-01 20:00:00,2.51422916666666,1.25,0.0034722222222222,166.83333333333334
2009-01-01 21:00:00,2.51471354166666,1.3125,0.0036458333333333,166.875
2009-01-01 22:00:00,2.51519791666666,1.375,0.0038194444444444,166.91666666666666
2009-01-01 23:00:00,2.51568229166666,1.4375,0.0039930555555555,166.95833333333334
2009-01-02 00:00:00,2.51616666666666,1.5,0.0041666666666666,167.0
2009-01-02 01:00:00,2.516586805555549,1.4375,0.0041666666666666,166.91666666666666
2009-01-02 02:00:00,2.517006944444438,1.375,0.0041666666666666,166.83333333333334
2009-01-02 03:00:00,2.5174270833333274,1.3125,0.0041666666666666,166.75
2009-01-02 04:00:00,2.5178472222222164,1.25,0.0041666666666666,166.66666666666666
2009-01-02 05:00:00,2.5182673611111057,1.1875,0.0041666666666666,166.58333333333334
2009-01-02 06:00:00,2.518687499999995,1.125,0.0041666666666666,166.5
2009-01-02 07:00:00,2.519107638888884,1.0625,0.0041666666666666,166.41666666666666
2009-01-02 08:00:00,2.5195277777777734,1.0,0.0041666666666666,166.33333333333334
2009-01-02 09:00:00,2.5199479166666623,0.9375,0.0041666666666666,166.25
2009-01-02 10:00:00,2.520368055555552,0.875,0.0041666666666666,166.16666666666666
2009-01-02 11:00:00,2.520788194444441,0.8125,0.0041666666666666,166.08333333333334
2009-01-02 12:00:00,2.52120833333333,0.75,0.0041666666666666,166.0
